SentID_GM,targ,Sentence_with_Target,Sentence_with_Blank,SimilarTo_SentID_GM,sentence_length,targ_sent_position
1,agility,The girls agreed that Anna was the one with the most [agility].,The girls agreed that Anna was the one with the most XXXXX.,2381,NA,NA
2,agility,The group wondered whether John had increased his [agility] since the last time.,The group wondered whether John had increased his XXXXX since the last time.,NA,NA,NA
3,agility,This year Angela appears to have greater [agility] than last year.,This year Angela appears to have greater XXXXX than last year.,NA,NA,NA
4,agility,John is the one with the most [agility] in this family.,John is the one with the most XXXXX in this family.,2386,NA,NA
5,agility,Candace thought that the third one in line had the most [agility].,Candace thought that the third one in line had the most XXXXX.,NA,NA,NA
6,agility,My sister still believes that the last one has the least [agility].,My sister still believes that the last one has the least XXXXX.,NA,NA,NA
7,agility,Jim mastered the exercise very quickly because of his [agility].,Jim mastered the exercise very quickly because of his XXXXX.,2376,NA,NA
8,agility,Peter found the steps hard to follow and struggled because of his poor [agility].,Peter found the steps hard to follow and struggled because of his poor XXXXX.,NA,NA,NA
9,agility,Some activities require a lot of natural [agility] to succeed in.,Some activities require a lot of natural XXXXX to succeed in.,NA,NA,NA
10,agility,The girl jumped off the edge with [agility] and landed safely.,The girl jumped off the edge with XXXXX and landed safely.,2378,NA,NA
11,agility,Simon is a typical cat except for his surprising lack of [agility].,Simon is a typical cat except for his surprising lack of XXXXX.,NA,NA,NA
12,agility,"During the performance, Mark showed off his excellent [agility].","During the performance, Mark showed off his excellent XXXXX.",NA,NA,NA
13,agility,The athlete showed her [agility] on the balance beam.,The athlete showed her XXXXX on the balance beam.,2380,NA,NA
14,agility,The girl danced on the beam with the [agility] of a bird.,The girl danced on the beam with the XXXXX of a bird.,2375,NA,NA
15,agility,Dog shows have exercises to test the dogs' speed and [agility].,Dog shows have exercises to test the dogs' speed and XXXXX.,NA,NA,NA
16,agility,"Yoga involves stretching, so it requires [agility] as well as strength.","Yoga involves stretching, so it requires XXXXX as well as strength.",NA,NA,NA
17,agility,Some wrestlers move with the [agility] of a gymnast.,Some wrestlers move with the XXXXX of a gymnast.,2377,NA,NA
