SentID_GM,Sentence,Targ,Sentence_With_Blank,SimilarTo_Sentence,SimilarTo_SentID_GM,Alternate_SimilarTo_Sentence,Alternate_SimilarTo_SentID_GM,SimilarTo_Targets
4397,I go to school because I want to get a good [education].,education,I go to school because I want to get a good XXXXX.,,,,,
4398,Our class talked about whether or not robots have [emotions].,emotion,Our class talked about whether or not robots have [emotions].,,,,,
746,"In some countries, girls are [browbeat] into marrying at a very young age.",browbeat,"In some countries, girls are XXXXX into marrying at a very young age.",,,,,
748,The company tried to [browbeat] them into signing the deal. ,browbeat,The company tried to XXXXX them into signing the deal. ,,,,,
745,Jane wanted to [browbeat] her sister into revealing the truth.,browbeat,Jane wanted to XXXXX her sister into revealing the truth.,,,,,
754,His wife nagged and [browbeat] him into purchasing the necklace.,browbeat,His wife nagged and XXXXX him into purchasing the necklace.,,,,,
741,Patrick was surprised that his coworker wanted to [browbeat] him.,browbeat,Patrick was surprised that his coworker wanted to XXXXX him.,,,,,
749,The boss decided to [browbeat] the workers into leaving.,browbeat,The boss decided to XXXXX the workers into leaving.,,,,,
756,"Sarah wanted to talk, not [browbeat] her husband into agreement.",browbeat,"Sarah wanted to talk, not XXXXX her husband into agreement.",,,,,
742,"After Brenda left, the boys all began to [browbeat] one another.",browbeat,"After Brenda left, the boys all began to XXXXX one another.",,,,,
752,John's Dad usually has to yell and [browbeat] him into doing his chores. ,browbeat,John's Dad usually has to yell and XXXXX him into doing his chores. ,,,,,
3702,"A coach should provide leadership, not [browbeat] the athletes.",browbeat,"A coach should provide leadership, not XXXXX the athletes.",,,"A coach should provide leadership, not [browbeat] the players.",1083,browbeat
61,"The trickster wore regular clothes to blend in, a [canny] move. ",canny,"The trickster wore regular clothes to blend in, a XXXXX move. ",,,,,
70,"It is possible to be clever or [canny], without being selfish.",canny,"It is possible to be clever or XXXXX, without being selfish.",,,,,
68,Victor realized she must be very [canny] to get away with the theft.,canny,Victor realized she must be very XXXXX to get away with the theft.,,,,,
72,We never guessed we'd been tricked because the magician was so [canny].,canny,We never guessed we'd been tricked because the magician was so XXXXX.,We never guessed the trick because the magician was so [versute].,3220,The magician was so [vafrous] that we never guessed we'd been tricked.,3218,"vafrous,versute"
60,The new boy in school had a [canny] look on his face.,canny,The new boy in school had a XXXXX look on his face.,,,The little boy in the corner had a [versute] look on his face.,3625,versute
64,You must be careful if you want to be a [canny] investor.,canny,You must be careful if you want to be a XXXXX investor.,,,,,
65,I didn't trust the new boy because he had a [canny] look.,canny,I didn't trust the new boy because he had a XXXXX look.,I didn't trust the new boy because he had a [vafrous] look about him.,3105,,,vafrous
62,"When Jack wanted to get agreement, he had a [canny] means of persuasion.",canny,"When Jack wanted to get agreement, he had a XXXXX means of persuasion.",,,,,
66,The girl won us over with her [canny] sense of what to say.,canny,The girl won us over with her XXXXX sense of what to say.,,,,,
63,Lawyers must be thoughtful and [canny] in order to succeed.,canny,Lawyers must be thoughtful and XXXXX in order to succeed.,,,,,
